应用名称;原文档中的应用地址;实际访问的应用地址;访问地址是否等于文档所给地址;访问状态;应用在政务网是否存在;应用名称与页面是否匹配;截图相对路径
专业技术职业资格考试《成绩合格证明》打印;http://gansu.nomax.vip/bas/stdlogin.do?method=fwdLoginPage;http://gansu.nomax.vip/bas/stdlogin.do?method=fwdLoginPage;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\专业技术职业资格考试《成绩合格证明》打印.png;
公司设立登记;https://djzc.scjg.gansu.gov.cn/gsaicEn/govLogin!govLogin.do?sid=11620000MB1663770A200013100300001;https://djzc.scjg.gansu.gov.cn/gsaicEn/govLogin!govLogin.do?sid=11620000MB1663770A200013100300001&code=90000&ticket=naturalTicket11737843831582392184975736050535&authCode=OsnD5gutOz1rBlnOxctU9OX3VsI3YyPV5E&flag=true;不一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\公司设立登记.png;
劳动人事争议调解申请;http://36.142.15.42:8088/ggfw/business?modelId=d0a93f3b950d48c387ab6d828841d6fa&clientId=3;http://36.142.15.42:8088/ggfw/business?modelId=d0a93f3b950d48c387ab6d828841d6fa&clientId=3&authCode=OsnD5gutOz1rBlnOxctU9OX3VsI3YyPV5E&ticket=naturalTicketwmqrTy4QSArtMZuZsZ8xVMJSi4PklZ2l&state=612214382;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\劳动人事争议调解申请.png;
职业教育教学成果奖评选;http://jyt.gansu.gov.cn/online_apply/index.xhtml;http://jyt.gansu.gov.cn/online_apply/index.xhtml;一致;412;应用存在;None;pics\2022_06_07_17_31_54\职业教育教学成果奖评选.png;
往来港澳团队旅游签注签发;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb20690;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb20690;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\往来港澳团队旅游签注签发.png;
甘肃电力-用电用户过户;https://zwfw.gansu.gov.cn/api/sso/loginTrust?backUrl=https://osg-static.sgcc.com.cn/zwfwz/ganSuZw/pc/configIndex?areaCode=620000&userType=1;https://osg-static.sgcc.com.cn/zwfwz/ganSuZw/pc/configIndex?areaCode=620000&userType=1&code=90000&ticket=naturalTicket62854636942716495852997849444404&authCode=OsnD5gutOz1rBlnOxctU9OX3VsI3YyPV5E&flag=true;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\甘肃电力-用电用户过户.png;
事业单位工作人员申诉、再申诉办理;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014203004/002014203004;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014203004/002014203004;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\事业单位工作人员申诉、再申诉办理.png;
股权出质的注销;https://djzc.scjg.gansu.gov.cn/gsaicEn/govLogin!govLogin.do?sid=11620000MB1663770A200073100200004;https://djzc.scjg.gansu.gov.cn/gsaicEn/govLogin!govUnRegLogin.do?sid=11620000MB1663770A200073100200004&authCode=OsnD5gutOz1rBlnOxctU9OX3VsI3YyPV5E&ticket=naturalTicketar1dhZ7FblSEzeQuJh6L1WPGEWrrQp6U&state=2060140910;不一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\股权出质的注销.png;
甘肃电力-低压居民用户新装用电;https://zwfw.gansu.gov.cn/api/sso/loginTrust?backUrl=https://osg-static.sgcc.com.cn/zwfwz/ganSuZw/pc/configIndex?areaCode=620000&userType=1;https://osg-static.sgcc.com.cn/zwfwz/ganSuZw/pc/configIndex?areaCode=620000&userType=1&code=90000&ticket=naturalTicket13767342818059491300471045599052&authCode=OsnD5gutOz1rBlnOxctU9OX3VsI3YyPV5E&flag=true;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\甘肃电力-低压居民用户新装用电.png;
二级注册结构工程师执业资格认定（注销注册）;https://zwfw.gansu.gov.cn/api/sso/loginTrust?backUrl=http://zcry.gsszczx.com:84/ciacuserportalxcryweb/SSO/logings.aspx?zczylx=jgs&action=zxzc;http://zcry.gsszczx.com:84/ciacuserportalxcryweb/Gryh/GsLoginMsg?code=%e6%9d%8e%e9%87%8d%e9%98%b3140522199511010014;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\二级注册结构工程师执业资格认定（注销注册）.png;
对测量标志保护工作的奖励;https://zwfw.gansu.gov.cn/gsjis/natural/newJAdByContry?LinkAddr=http://36.142.15.6:11111/diit-qdyjj-web/login/loginTrust?taskCode=11620000MB1674680L2000815012000&TaskHandleItem=11620000MB1674680L200081501200001;http://36.142.15.6:11111/diit-qdyjj-web/xjzwfw/zwfw/iframepagedemo.jsp;不一致;302;应用存在;None;pics\2022_06_07_17_31_54\对测量标志保护工作的奖励.png;
工伤保险待遇发放账户维护申请;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014002004/002014002004;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014002004/002014002004;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\工伤保险待遇发放账户维护申请.png;
食品生产许可变更;http://124.152.25.55:8093/ZwfwLogin/SsoLoginNew.aspx?sid=11620000MB1663770A200013102300010;http://124.152.25.55:8093/Company/Food/Production/List.aspx?ApplyType=9;不一致;302;应用存在;None;pics\2022_06_07_17_31_54\食品生产许可变更.png;
异地转（迁）入预选号牌;https://gs.122.gov.cn/;https://gs.122.gov.cn/;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\异地转（迁）入预选号牌.png;
甘肃电力-用电用户其他办电项目-移表;https://zwfw.gansu.gov.cn/api/sso/loginTrust?backUrl=https://osg-static.sgcc.com.cn/zwfwz/ganSuZw/pc/configIndex?areaCode=620000&userType=1;https://osg-static.sgcc.com.cn/zwfwz/ganSuZw/pc/configIndex?areaCode=620000&userType=1&code=90000&ticket=naturalTicket43274326442525120363068757092966&authCode=OsnD5gutOz1rBlnOxctU9OX3VsI3YyPV5E&flag=true;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\甘肃电力-用电用户其他办电项目-移表.png;
普通护照加注;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa80ebb20688;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa80ebb20688;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\普通护照加注.png;
全国会计专业技术初级资格考试;http://kzp.mof.gov.cn/;http://kzp.mof.gov.cn/;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\全国会计专业技术初级资格考试.png;
用人单位办理工伤登记;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014007002/002014007002;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014007002/002014007002;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\用人单位办理工伤登记.png;
技术合同认定登记;http://210.12.174.1:8084/;http://210.12.174.1:8084/;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\技术合同认定登记.png;
内地（大陆）居民往来港澳台办证进度查询;https://zwfw.gat.gansu.gov.cn/crj/crjmsjw/wsyy/ajax/bzjdquery.html;https://zwfw.gat.gansu.gov.cn/crj/crjmsjw/wsyy/ajax/bzjdquery.html;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\内地（大陆）居民往来港澳台办证进度查询.png;
往来台湾通行证换发;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb206e0;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb206e0;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\往来台湾通行证换发.png;
取消异地考试预约;https://gs.122.gov.cn/;https://gs.122.gov.cn/;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\取消异地考试预约.png;
全省工程系列教育教学类工程专业高级、中级职称评审;http://gszcxt.cn/zcxt;http://gszcxt.cn/zcxt;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\全省工程系列教育教学类工程专业高级、中级职称评审.png;
专业技术人员资格证书管理服务;http://gansu.nomax.vip/bas/stdLogin.jsp;http://gansu.nomax.vip/bas/stdLogin.jsp;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\专业技术人员资格证书管理服务.png;
二级造价工程师执业资格认定（初始注册）;http://zcry.gsszczx.com:84/ciacuserportalxcryweb/SSO/logings.aspx?zczylx=zjs&action=cszc;http://zcry.gsszczx.com:84/ciacuserportalXCRYweb/Gryh/GsLoginMsg?code=%e6%9d%8e%e9%87%8d%e9%98%b3140522199511010014;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\二级造价工程师执业资格认定（初始注册）.png;
高等教育教学成果奖评选;http://gxpam.gsedu.cn;http://gxpam.gsedu.cn/home?redirect=%2Findex;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\高等教育教学成果奖评选.png;
注册建筑师;http://zg.cpta.com.cn/examfront/login/initLogin.htm;http://zg.cpta.com.cn/examfront/login/initLogin.htm;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\注册建筑师.png;
食品生产许可首次申请;http://124.152.25.55:8093/ZwfwLogin/SsoLoginNew.aspx?sid=11620000MB1663770A200013102300007;http://124.152.25.55:8093/Company/Food/Production/List.aspx;不一致;302;应用存在;None;pics\2022_06_07_17_31_54\食品生产许可首次申请.png;
辅助器具配置或更换申请;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014007018/002014007018;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014007018/002014007018;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\辅助器具配置或更换申请.png;
一般保护古生物化石出境审批;https://zwfw.gansu.gov.cn/gsjis/natural/newJAdByContry?LinkAddr=http://36.142.15.6:11111/diit-qdyjj-web/login/loginTrust?taskCode=11620000MB1674680L2000115022000&TaskHandleItem=11620000MB1674680L200011502200001;http://36.142.15.6:11111/diit-qdyjj-web/xjzwfw/zwfw/iframepagedemo.jsp;不一致;302;应用存在;None;pics\2022_06_07_17_31_54\一般保护古生物化石出境审批.png;
食品生产许可延续;http://124.152.25.55:8093/ZwfwLogin/SsoLoginNew.aspx?sid=11620000MB1663770A200013102300009;http://124.152.25.55:8093/Company/Food/Production/List.aspx;不一致;302;应用存在;None;pics\2022_06_07_17_31_54\食品生产许可延续.png;
二级建造师执业资格认定（注销注册）;https://zwfw.gansu.gov.cn/api/sso/loginTrust?backUrl=http://zcry.gsszczx.com:84/ciacuserportalxcryweb/SSO/logings.aspx?zczylx=jzaos&action=zxzc;http://zcry.gsszczx.com:84/ciacuserportalxcryweb/Gryh/GsLoginMsg?code=%e6%9d%8e%e9%87%8d%e9%98%b3140522199511010014;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\二级建造师执业资格认定（注销注册）.png;
出具《参保凭证》;https://ybdzpz.ylbz.gansu.gov.cn/hsa-local-prod/web/hallEnter/?channel=zwfw&toPath=PrintPsnInsuPrintInfo&type=1;https://ybdzpz.ylbz.gansu.gov.cn/hsa-local-prod/web/hallPersonal/#/PrintPsnInsuPrintInfo;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\出具《参保凭证》.png;
赴台学习签注签发;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb206e0;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb206e0;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\赴台学习签注签发.png;
社会团体成立登记;http://61.178.59.16:55003/netHandle/api/management/commonAccept?TaskCode=11620000013897654H2000111001000&taskHandleItem=11620000013897654H200011100100001;http://61.178.59.16:55003/netHandle/index?taskCode=11620000013897654H2000111001000&taskHandleItem=11620000013897654H200011100100001&token=naturalToken7738962400381028932167324088553632964260495710148435179490761216;不一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\社会团体成立登记.png;
对出租汽车经营者和驾驶员先进事迹的表彰和奖励;https://jtzw.gstscc.cn/zwfwbl/pages/matters/notice.html?taskCode=1162000001389791022000818002000&taskType=08&taskHandleItem=116200000138979102200081800200001;None;None;None;应用存在，但访问状态异常;None;pics\2022_06_07_17_31_54\对出租汽车经营者和驾驶员先进事迹的表彰和奖励.png;
常驻异地工作人员备案;https://ybdzpz.ylbz.gansu.gov.cn/hsa-local-prod/web/hallEnter/?channel=zwfw&toPath=OffsetRecord&type=1;https://ybdzpz.ylbz.gansu.gov.cn/hsa-local-prod/web/hallPersonal/#/OffsetRecord;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\常驻异地工作人员备案.png;
无船承运业务备案;http://mwtis.mot.gov.cn/syportal/login;https://mwtis.mot.gov.cn/syportal/login;不一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\无船承运业务备案.png;
往来台湾通行证失效重新申请;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb20690;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb20690;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\往来台湾通行证失效重新申请.png;
公务用枪持枪许可;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff8080815ffcd4sa015ffcf89e6a0018;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff8080815ffcd4sa015ffcf89e6a0018;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\公务用枪持枪许可.png;
一次性工亡补助金（含生活困难，预支50%确认）、丧葬补助金申领;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014007027/002014007027;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014007027/002014007027;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\一次性工亡补助金（含生活困难，预支50%确认）、丧葬补助金申领.png;
免检车申领检验标志;https://gs.122.gov.cn/;https://gs.122.gov.cn/;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\免检车申领检验标志.png;
辅助器具异地配置申请;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014007019/002014007019;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014007019/002014007019;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\辅助器具异地配置申请.png;
往来港澳通行证补发;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb20690;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb20690;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\往来港澳通行证补发.png;
备案更多机动车;https://gs.122.gov.cn/;https://gs.122.gov.cn/;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\备案更多机动车.png;
翻译专业资格（笔译、口译）;http://zg.cpta.com.cn/examfront/login/initLogin.htm;http://zg.cpta.com.cn/examfront/login/initLogin.htm;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\翻译专业资格（笔译、口译）.png;
申报错误更正;https://etax.gansu.chinatax.gov.cn/bszm-web/apps/views/beforeLogin/indexBefore/zwfw/zwfw.html?url=https://etax.gansu.chinatax.gov.cn/sbzx-web/apps/views/gzsbcx/gzsbcx.html?id=68&code=gzsb;https://etax.gansu.chinatax.gov.cn/bszm-web/apps/views/beforeLogin/indexBefore/pageIndex.html?qd=zwfw&type=zrr&success=true&message=&token=naturalToken7738962400381028932167324088553632964260495710148435179490761216&service=https%3A%2F%2Fetax.gansu.chinatax.gov.cn%2Fsbzx-web%2Fapps%2Fviews%2Fgzsbcx%2Fgzsbcx.html%3Fid%3D68%26code%3Dgzsb%26isRedict%3Dtrue#/;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\申报错误更正.png;
劳动能力复查鉴定申请;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014007007/002014007007;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014007007/002014007007;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\劳动能力复查鉴定申请.png;
往来港澳通行证首次申请;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb20690;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb20690;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\往来港澳通行证首次申请.png;
资产评估师继续教育;http://www.gsicpa.net;http://www.gsicpa.net/;不一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\资产评估师继续教育.png;
甘肃省科技功臣奖;https://xm.gskeju.cn;https://xm.gskeju.cn/egrantweb/;不一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\甘肃省科技功臣奖.png;
导游证核发;https://jgpt.mr.mct.gov.cn/login;https://wljg.mr.mct.gov.cn/user/login;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\导游证核发.png;
打印学习驾驶证明;https://gs.122.gov.cn/;https://gs.122.gov.cn/;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\打印学习驾驶证明.png;
注册会计师注册;http://acc.mof.gov.cn/login_achieve/login?v=3.4;http://acc.mof.gov.cn/login_achieve/login?v=3.4;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\注册会计师注册.png;
食品生产许可注销;http://124.152.25.55:8093/ZwfwLogin/SsoLoginNew.aspx?sid=11620000MB1663770A200013102300012;http://124.152.25.55:8093/Company/Cert/Cancellation/List.aspx?Type=SPSC;不一致;302;应用存在;None;pics\2022_06_07_17_31_54\食品生产许可注销.png;
赴台其他签注签发;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb206e0;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb206e0;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\赴台其他签注签发.png;
对发展教育事业做出突出贡献的奖励;http://jyt.gansu.gov.cn/online_apply/index.xhtml;http://jyt.gansu.gov.cn/online_apply/index.xhtml;一致;412;应用存在;None;pics\2022_06_07_17_31_54\对发展教育事业做出突出贡献的奖励.png;
从国外引进林木种子、苗木检疫审批;https://swapp.singlewindow.cn/itsqapplywebserver/static/home.html;https://swapp.singlewindow.cn/itsqapplywebserver/static/home.html;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\从国外引进林木种子、苗木检疫审批.png;
境外非政府组织临时活动备案;https://ngo.mps.gov.cn/ngo/portal/index.do;https://ngo.mps.gov.cn/ngo/portal/index.do;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\境外非政府组织临时活动备案.png;
二级注册结构工程师执业资格认定（初始注册）;https://zwfw.gansu.gov.cn/api/sso/loginTrust?backUrl=http://zcry.gsszczx.com:84/ciacuserportalxcryweb/SSO/logings.aspx?zczylx=jgs&action=zxzc;http://zcry.gsszczx.com:84/ciacuserportalxcryweb/Gryh/GsLoginMsg?code=%e6%9d%8e%e9%87%8d%e9%98%b3140522199511010014;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\二级注册结构工程师执业资格认定（初始注册）.png;
申请新车临时号牌;https://gs.122.gov.cn/;https://gs.122.gov.cn/;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\申请新车临时号牌.png;
甘肃电力-用电用户其他办电项目-复装;https://zwfw.gansu.gov.cn/api/sso/loginTrust?backUrl=https://osg-static.sgcc.com.cn/zwfwz/ganSuZw/pc/configIndex?areaCode=620000&userType=1;https://osg-static.sgcc.com.cn/zwfwz/ganSuZw/pc/configIndex?areaCode=620000&userType=1&code=90000&ticket=naturalTicket75834155762214288876829491927431&authCode=OsnD5gutOz1rBlnOxctU9OX3VsI3YyPV5E&flag=true;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\甘肃电力-用电用户其他办电项目-复装.png;
城镇职工基本养老保险与城乡居民基本养老保险制度衔接申请;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014006016/002014006016;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014006016/002014006016;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\城镇职工基本养老保险与城乡居民基本养老保险制度衔接申请.png;
对教师申诉的处理;http://jyt.gansu.gov.cn/online_apply/index.xhtml;http://jyt.gansu.gov.cn/online_apply/index.xhtml;一致;412;应用存在;None;pics\2022_06_07_17_31_54\对教师申诉的处理.png;
举办香港特别行政区、澳门特别行政区的文艺表演团体、个人参加的营业性演出增加演出地备案;http://ccm.mct.gov.cn/;http://ccm.mct.gov.cn/ccnt/hbase/index.html;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\举办香港特别行政区、澳门特别行政区的文艺表演团体、个人参加的营业性演出增加演出地备案.png;
临时身份证明;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=df8291ab5fb86fc4015fb87702e10003;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=df8291ab5fb86fc4015fb87702e10003;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\临时身份证明.png;
办理机动车驾驶证业务网上委托;https://gs.122.gov.cn/;https://gs.122.gov.cn/;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\办理机动车驾驶证业务网上委托.png;
旧伤复发申请确认;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014007014/002014007014;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014007014/002014007014;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\旧伤复发申请确认.png;
公司注销登记;https://djzc.scjg.gansu.gov.cn/gsaicEn/govLogin!govLogin.do?sid=11620000MB1663770A200013100300003;https://djzc.scjg.gansu.gov.cn/gsaicEn/govLogin!govLogin.do?sid=11620000MB1663770A200013100300003&code=90000&ticket=naturalTicket86861219221360504932803550478279&authCode=OsnD5gutOz1rBlnOxctU9OX3VsI3YyPV5E&flag=true;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\公司注销登记.png;
注册会计师全国统一考试;https://cpaexam.cicpa.org.cn/;https://cpaexam.cicpa.org.cn/;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\注册会计师全国统一考试.png;
作品自愿登记;https://zwfw.gansu.gov.cn/api/sso/loginTrust?backUrl=http://www.gsbqfw.com/user/login;http://www.gsbqfw.com/user/login?code=90055&flag=false&msg=backUrl%20invalid;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\作品自愿登记.png;
提供政审（考察）服务;http://36.142.15.42:8088/ggfw/business?modelId=agArchPolRevForGovPerUC&clientId=3;http://36.142.15.42:8088/ggfw/business?modelId=agArchPolRevForGovPerUC&clientId=3&authCode=OsnD5gutOz1rBlnOxctU9OX3VsI3YyPV5E&ticket=naturalTickettVZ4NIqBahYT4T7nmdAk1NcxfABURUFf&state=1777888811;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\提供政审（考察）服务.png;
异地工伤就医报告;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014007013/002014007013;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014007013/002014007013;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\异地工伤就医报告.png;
地质资料管理工作中作出突出贡献奖励;https://zwfw.gansu.gov.cn/gsjis/natural/newJAdByContry?LinkAddr=http://36.142.15.6:11111/diit-qdyjj-web/login/loginTrust?taskCode=11620000MB1674680L2000815006000&TaskHandleItem=11620000MB1674680L200081500600001;http://36.142.15.6:11111/diit-qdyjj-web/xjzwfw/zwfw/iframepagedemo.jsp;不一致;302;应用存在;None;pics\2022_06_07_17_31_54\地质资料管理工作中作出突出贡献奖励.png;
存档人员党员组织关系的接转;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014204007/002014204007;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014204007/002014204007;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\存档人员党员组织关系的接转.png;
赴台定居签注签发;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb206e0;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb206e0;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\赴台定居签注签发.png;
出版专业技术人员职业资格（初级、中级）考试报名;http://zg.cpta.com.cn/examfront/login/initLogin.htm;http://zg.cpta.com.cn/examfront/login/initLogin.htm;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\出版专业技术人员职业资格（初级、中级）考试报名.png;
统计专业技术资格（初级、中级、高级）报名;http://zg.cpta.com.cn/examfront/login/initLogin.htm;http://zg.cpta.com.cn/examfront/login/initLogin.htm;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\统计专业技术资格（初级、中级、高级）报名.png;
监理工程师;http://zg.cpta.com.cn/examfront/login/initLogin.htm;http://zg.cpta.com.cn/examfront/login/initLogin.htm;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\监理工程师.png;
剧毒化学品道路运输通行证核发;https://gs.122.gov.cn/;https://gs.122.gov.cn/;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\剧毒化学品道路运输通行证核发.png;
对公司章程修改备案;https://djzc.scjg.gansu.gov.cn/gsaicEn/govLogin!govLogin.do?sid=11620000MB1663770A262103107000073;https://djzc.scjg.gansu.gov.cn/gsaicEn/govLogin!govLogin.do?sid=11620000MB1663770A262103107000073&code=90000&ticket=naturalTicket80892854075866351389076747849131&authCode=OsnD5gutOz1rBlnOxctU9OX3VsI3YyPV5E&flag=true;不一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\对公司章程修改备案.png;
甘肃电力-用电用户其他办电项目-暂拆;https://zwfw.gansu.gov.cn/api/sso/loginTrust?backUrl=https://osg-static.sgcc.com.cn/zwfwz/ganSuZw/pc/configIndex?areaCode=620000&userType=1;https://osg-static.sgcc.com.cn/zwfwz/ganSuZw/pc/configIndex?areaCode=620000&userType=1&code=90000&ticket=naturalTicket49839318734704113778598109949827&authCode=OsnD5gutOz1rBlnOxctU9OX3VsI3YyPV5E&flag=true;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\甘肃电力-用电用户其他办电项目-暂拆.png;
土地权属争议调处;https://zwfw.gansu.gov.cn/gsjis/natural/newJAdByContry?LinkAddr=http://36.142.15.6:11111/diit-qdyjj-web/login/loginTrust?taskCode=11620000MB1674680L2000915002000&TaskHandleItem=11620000MB1674680L200091500200001;http://36.142.15.6:11111/diit-qdyjj-web/xjzwfw/zwfw/iframepagedemo.jsp;不一致;302;应用存在;None;pics\2022_06_07_17_31_54\土地权属争议调处.png;
考试费缴纳;https://gs.122.gov.cn/;https://gs.122.gov.cn/;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\考试费缴纳.png;
全国教育系统先进集体和先进个人表彰;http://jyt.gansu.gov.cn/online_apply/index.xhtml;http://jyt.gansu.gov.cn/online_apply/index.xhtml;一致;412;应用存在;None;pics\2022_06_07_17_31_54\全国教育系统先进集体和先进个人表彰.png;
